
; Distancia (Mpc) ; Nome da galaxia1 ; Massa1 ($M_\odot$) ; Idade1 (Gyr) ; redshift1 ; Nome da galaxia2 ; Massa2 ($M_\odot$) ; Idade2 (Gyr) ; redshift2 ; Criterio ;
; 20.0 ; NGC 1316 ; $6.0 \times 10^{11}$ ; 12.0 ; 0.00587 ; NGC 1317 ; $3.0 \times 10^{10}$ ; 5.5 ; 0.00647 ; 1 ;
; 16.5 ; M85 ; $4.0 \times 10^{11}$ ; 11.0 ; 0.00243 ; NGC 4394 ; $2.5 \times 10^{10}$ ; 4.0 ; 0.00307 ; 1 ;
; 10.5 ; M96 ; $8.0 \times 10^{10}$ ; 10.0 ; 0.00299 ; M95 ; $5.0 \times 10^{10}$ ; 7.0 ; 0.00263 ; 0 ;
; 10.5 ; M105 ; $1.0 \times 10^{11}$ ; 12.5 ; 0.00304 ; NGC 3384 ; $4.0 \times 10^{10}$ ; 9.0 ; 0.00247 ; 0 ;
; 11.5 ; M66 ; $1.2 \times 10^{11}$ ; 9.5 ; 0.00243 ; M65 ; $8.0 \times 10^{10}$ ; 8.5 ; 0.00269 ; 1 ;
; 11.5 ; M66 ; $1.2 \times 10^{11}$ ; 9.5 ; 0.00243 ; NGC 3628 ; $7.0 \times 10^{10}$ ; 6.0 ; 0.00281 ; 1 ;
; 3.20 ; NGC 5128 ; $2.0 \times 10^{11}$ ; 12.0 ; 0.00183 ; NGC 5102 ; $6.0 \times 10^{9}$ ; 3.5 ; 0.00189 ; 1 ;
; 16.5 ; NGC 4526 ; $2.0 \times 10^{11}$ ; 12.0 ; 0.00206 ; NGC 4535 ; $6.0 \times 10^{10}$ ; 5.5 ; 0.00655 ; 1 ;
; 16.5 ; M49 ; $8.0 \times 10^{11}$ ; 12.5 ; 0.00331 ; NGC 4365 ; $3.0 \times 10^{11}$ ; 11.0 ; 0.00415 ; 1 ;
; 16.5 ; M87 ; $1.0 \times 10^{12}$ ; 13.0 ; 0.00436 ; NGC 4374 (M84) ; $5.0 \times 10^{11}$ ; 12.5 ; 0.00354 ; 0 ;
; 18.4 ; NGC 4649 (M60) ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00373 ; NGC 4638 ; $2.5 \times 10^{10}$ ; 10.0 ; 0.00384 ; 1 ;
; 16.5 ; NGC 4438 ; $7.0 \times 10^{10}$ ; 9.0 ; 0.00023 ; NGC 4435 ; $2.0 \times 10^{10}$ ; 6.5 ; 0.00264 ; 1 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; NGC 1374 ; $4.0 \times 10^{10}$ ; 11.0 ; 0.00441 ; 0 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; NGC 1427 ; $3.5 \times 10^{10}$ ; 9.5 ; 0.00479 ; 1 ;
; 17.0 ; M100 ; $1.6 \times 10^{11}$ ; 9.5 ; 0.00524 ; NGC 4328 ; $3.0 \times 10^{9}$ ; 7.0 ; 0.00481 ; 0 ;
; 3.80 ; NGC 4945 ; $7.0 \times 10^{10}$ ; 8.5 ; 0.00188 ; NGC 4945A ; $5.0 \times 10^{8}$ ; 4.0 ; 0.00232 ; 1 ;
; 4.60 ; M64 ; $4.0 \times 10^{10}$ ; 9.5 ; 0.00137 ; UGC 8508 ; $2.0 \times 10^{8}$ ; 5.0 ; 0.00021 ; 0 ;
; 16.5 ; M100 ; $1.6 \times 10^{11}$ ; 9.5 ; 0.00524 ; NGC 4419 ; $3.0 \times 10^{10}$ ; 6.0 ; -0.00087 ; 0 ;
; 20.0 ; NGC 1316 ; $6.0 \times 10^{11}$ ; 12.0 ; 0.00587 ; NGC 1310 ; $4.0 \times 10^{9}$ ; 5.0 ; 0.00611 ; 1 ;
; 12.0 ; NGC 4631 ; $3.0 \times 10^{10}$ ; 9.0 ; 0.00202 ; NGC 4627 ; $1.5 \times 10^{9}$ ; 7.5 ; 0.00181 ; 0 ;
; 7.20 ; NGC 4736 (M94) ; $5.0 \times 10^{10}$ ; 10.0 ; 0.00103 ; NGC 4244 ; $5.0 \times 10^{9}$ ; 6.0 ; 0.00081 ; 0 ;
; 7.60 ; NGC 4258 (M106) ; $1.2 \times 10^{11}$ ; 11.0 ; 0.00149 ; NGC 4248 ; $2.0 \times 10^{9}$ ; 4.5 ; 0.00161 ; 1 ;
; 7.60 ; NGC 4258 (M106) ; $1.2 \times 10^{11}$ ; 11.0 ; 0.00149 ; NGC 4346 ; $2.5 \times 10^{10}$ ; 9.0 ; 0.00125 ; 0 ;
; 6.90 ; M101 ; $8.0 \times 10^{10}$ ; 9.0 ; 0.00081 ; NGC 5474 ; $2.0 \times 10^{9}$ ; 3.5 ; 0.00091 ; 1 ;
; 6.90 ; M101 ; $8.0 \times 10^{10}$ ; 9.0 ; 0.00081 ; NGC 5477 ; $5.0 \times 10^{8}$ ; 2.5 ; 0.00101 ; 1 ;
; 15.3 ; NGC 5866 (M102) ; $8.0 \times 10^{10}$ ; 12.0 ; 0.00224 ; NGC 5879 ; $2.0 \times 10^{10}$ ; 7.0 ; 0.00257 ; 1 ;
; 15.3 ; NGC 5866 (M102) ; $8.0 \times 10^{10}$ ; 12.0 ; 0.00224 ; NGC 5907 ; $7.0 \times 10^{10}$ ; 8.5 ; 0.00223 ; 0 ;
; 16.5 ; NGC 4406 (M86) ; $4.0 \times 10^{11}$ ; 12.0 ; -0.00094 ; NGC 4438 ; $7.0 \times 10^{10}$ ; 9.0 ; 0.00023 ; 1 ;
; 16.5 ; NGC 4569 (M90) ; $2.0 \times 10^{11}$ ; 10.5 ; -0.00078 ; IC 3583 ; $1.5 \times 10^{9}$ ; 4.0 ; 0.00374 ; 1 ;
; 16.5 ; NGC 4501 (M88) ; $2.5 \times 10^{11}$ ; 10.0 ; 0.00761 ; NGC 4571 ; $1.8 \times 10^{10}$ ; 6.5 ; 0.00565 ; 0 ;
; 16.5 ; M87 ; $1.0 \times 10^{12}$ ; 13.0 ; 0.00436 ; NGC 4476 ; $5.0 \times 10^{9}$ ; 10.5 ; 0.00661 ; 1 ;
; 18.4 ; M49 ; $8.0 \times 10^{11}$ ; 12.5 ; 0.00331 ; NGC 4281 ; $4.5 \times 10^{10}$ ; 11.0 ; 0.00889 ; 1 ;
; 18.4 ; M49 ; $8.0 \times 10^{11}$ ; 12.5 ; 0.00331 ; NGC 4281 ; $4.5 \times 10^{10}$ ; 11.0 ; 0.00889 ; 1 ;
; 16.5 ; NGC 4621 (M59) ; $2.0 \times 10^{11}$ ; 12.0 ; 0.00157 ; NGC 4612 ; $1.2 \times 10^{10}$ ; 9.5 ; 0.00592 ; 1 ;
; 16.5 ; NGC 4216 ; $1.5 \times 10^{11}$ ; 11.0 ; 0.00044 ; NGC 4206 ; $1.0 \times 10^{10}$ ; 6.0 ; 0.00234 ; 1 ;
; 16.5 ; NGC 4216 ; $1.5 \times 10^{11}$ ; 11.0 ; 0.00044 ; NGC 4222 ; $4.0 \times 10^{9}$ ; 4.5 ; 0.00076 ; 1 ;
; 12.1 ; NGC 1023 ; $1.8 \times 10^{11}$ ; 12.0 ; 0.00212 ; NGC 1023A ; $1.5 \times 10^{9}$ ; 5.5 ; 0.00247 ; 1 ;
; 10.2 ; NGC 3627 (M66) ; $1.2 \times 10^{11}$ ; 9.5 ; 0.00243 ; NGC 3593 ; $8.0 \times 10^{9}$ ; 5.0 ; 0.00209 ; 0 ;
; 11.7 ; NGC 2903 ; $6.0 \times 10^{10}$ ; 9.0 ; 0.00185 ; UGC 5086 ; $3.0 \times 10^{8}$ ; 4.5 ; 0.00192 ; 1 ;
; 3.10 ; NGC 4945 ; $7.0 \times 10^{10}$ ; 8.5 ; 0.00188 ; ESO 269-058 ; $6.0 \times 10^{8}$ ; 5.0 ; 0.00133 ; 0 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; NGC 1380 ; $1.2 \times 10^{11}$ ; 11.5 ; 0.00626 ; 1 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; NGC 1381 ; $3.5 \times 10^{10}$ ; 10.5 ; 0.00575 ; 1 ;
; 20.0 ; NGC 1399 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00475 ; NGC 1326 ; $3.0 \times 10^{10}$ ; 7.0 ; 0.00454 ; 0 ;
; 16.5 ; M60 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00373 ; NGC 4660 ; $3.0 \times 10^{10}$ ; 11.0 ; 0.00361 ; 0 ;
; 16.5 ; M87 ; $1.0 \times 10^{12}$ ; 13.0 ; 0.00436 ; NGC 4473 ; $8.0 \times 10^{10}$ ; 11.5 ; 0.00748 ; 1 ;
; 16.5 ; M87 ; $1.0 \times 10^{12}$ ; 13.0 ; 0.00436 ; NGC 4550 ; $1.5 \times 10^{10}$ ; 8.0 ; 0.00145 ; 0 ;
; 18.4 ; M49 ; $8.0 \times 10^{11}$ ; 12.5 ; 0.00331 ; NGC 4371 ; $6.0 \times 10^{10}$ ; 10.5 ; 0.00312 ; 0 ;
; 18.4 ; M49 ; $8.0 \times 10^{11}$ ; 12.5 ; 0.00331 ; NGC 4417 ; $2.2 \times 10^{10}$ ; 9.0 ; 0.00276 ; 0 ;
; 35.0 ; NGC 3258 ; $3.2 \times 10^{11}$ ; 12.0 ; 0.00931 ; NGC 3258A ; $1.8 \times 10^{9}$ ; 6.0 ; 0.00914 ; 0 ;
; 35.0 ; NGC 3268 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00934 ; NGC 3269 ; $4.5 \times 10^{10}$ ; 8.5 ; 0.00985 ; 1 ;
; 35.0 ; NGC 3268 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00934 ; NGC 3271 ; $6.0 \times 10^{10}$ ; 9.0 ; 0.01011 ; 1 ;
; 16.5 ; NGC 4536 ; $6.0 \times 10^{10}$ ; 8.0 ; 0.00603 ; NGC 4533 ; $3.5 \times 10^{9}$ ; 5.5 ; 0.00581 ; 0 ;
; 16.5 ; NGC 4548 (M91) ; $1.0 \times 10^{11}$ ; 9.0 ; 0.00162 ; NGC 4459 ; $7.0 \times 10^{10}$ ; 8.5 ; 0.00397 ; 1 ;
; 3.40 ; M81 ; $7.0 \times 10^{10}$ ; 11.0 ; -0.00011 ; Holmberg II ; $6.0 \times 10^{8}$ ; 3.5 ; 0.00047 ; 1 ;
; 3.40 ; M81 ; $7.0 \times 10^{10}$ ; 11.0 ; -0.00011 ; IC 2574 ; $1.5 \times 10^{9}$ ; 4.0 ; 0.00019 ; 1 ;
; 4.10 ; NGC 4236 ; $8.0 \times 10^{9}$ ; 7.5 ; 0.00001 ; DDO 165 ; $8.0 \times 10^{7}$ ; 3.0 ; 0.00015 ; 1 ;
; 17.2 ; NGC 4636 ; $3.0 \times 10^{11}$ ; 12.5 ; 0.00355 ; NGC 4643 ; $8.0 \times 10^{10}$ ; 10.0 ; 0.00445 ; 1 ;
; 16.5 ; NGC 4442 ; $7.0 \times 10^{10}$ ; 10.5 ; 0.00182 ; NGC 4425 ; $1.2 \times 10^{10}$ ; 7.5 ; 0.00631 ; 1 ;
; 16.5 ; NGC 4526 ; $2.0 \times 10^{11}$ ; 12.0 ; 0.00206 ; NGC 4496A ; $8.0 \times 10^{9}$ ; 4.5 ; 0.00577 ; 1 ;
; 12.5 ; NGC 3607 ; $1.5 \times 10^{11}$ ; 11.5 ; 0.00314 ; NGC 3608 ; $8.0 \times 10^{10}$ ; 11.0 ; 0.00392 ; 1 ;
; 18.6 ; NGC 3992 (M109) ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; NGC 3953 ; $1.6 \times 10^{11}$ ; 9.0 ; 0.00350 ; 1 ;
; 18.6 ; NGC 3992 (M109) ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; NGC 4102 ; $6.0 \times 10^{10}$ ; 7.5 ; 0.00282 ; 0 ;
; 18.6 ; NGC 3992 (M109) ; $2.2 \times 10^{11}$ ; 10.0 ; 0.00349 ; NGC 3893 ; $7.0 \times 10^{10}$ ; 7.0 ; 0.00323 ; 0 ;
; 18.6 ; NGC 3631 ; $9.0 \times 10^{10}$ ; 9.5 ; 0.00386 ; NGC 3657 ; $4.0 \times 10^{9}$ ; 4.5 ; 0.00341 ; 0 ;
; 18.6 ; NGC 3953 ; $1.6 \times 10^{11}$ ; 9.0 ; 0.00350 ; NGC 3726 ; $6.0 \times 10^{10}$ ; 6.5 ; 0.00287 ; 0 ;
; 18.6 ; NGC 3953 ; $1.6 \times 10^{11}$ ; 9.0 ; 0.00350 ; NGC 3917 ; $1.5 \times 10^{10}$ ; 5.5 ; 0.00322 ; 0 ;
; 18.6 ; NGC 4051 ; $5.0 \times 10^{10}$ ; 8.5 ; 0.00234 ; NGC 4013 ; $4.0 \times 10^{10}$ ; 8.0 ; 0.00277 ; 1 ;
; 16.5 ; NGC 4374 (M84) ; $5.0 \times 10^{11}$ ; 12.5 ; 0.00354 ; NGC 4413 ; $8.0 \times 10^{9}$ ; 6.0 ; 0.00035 ; 0 ;
; 16.5 ; NGC 4374 (M84) ; $5.0 \times 10^{11}$ ; 12.5 ; 0.00354 ; NGC 4407 ; $6.0 \times 10^{9}$ ; 7.0 ; 0.00331 ; 0 ;
; 16.5 ; NGC 4216 ; $1.5 \times 10^{11}$ ; 11.0 ; 0.00044 ; IC 3115 ; $2.0 \times 10^{8}$ ; 3.0 ; 0.00213 ; 1 ;
; 16.5 ; M87 ; $1.0 \times 10^{12}$ ; 13.0 ; 0.00436 ; NGC 4452 ; $6.0 \times 10^{9}$ ; 9.5 ; 0.00018 ; 0 ;
; 18.4 ; M49 ; $8.0 \times 10^{11}$ ; 12.5 ; 0.00331 ; NGC 4260 ; $5.0 \times 10^{10}$ ; 10.0 ; 0.00612 ; 1 ;
; 18.4 ; M49 ; $8.0 \times 10^{11}$ ; 12.5 ; 0.00331 ; NGC 4269 ; $1.8 \times 10^{10}$ ; 11.0 ; 0.00843 ; 1 ;
; 16.5 ; M60 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00373 ; NGC 4564 ; $3.2 \times 10^{10}$ ; 11.5 ; 0.00381 ; 1 ;
; 16.5 ; M89 (NGC 4552) ; $3.0 \times 10^{11}$ ; 12.0 ; 0.00113 ; NGC 4551 ; $4.5 \times 10^{9}$ ; 9.0 ; 0.00392 ; 1 ;
; 16.5 ; M89 (NGC 4552) ; $3.0 \times 10^{11}$ ; 12.0 ; 0.00113 ; IC 3576 ; $8.0 \times 10^{8}$ ; 4.0 ; 0.00352 ; 1 ;
; 16.5 ; NGC 4579 (M58) ; $1.8 \times 10^{11}$ ; 11.0 ; 0.00506 ; NGC 4569 (M90) ; $2.0 \times 10^{11}$ ; 10.5 ; -0.00078 ; 0 ;
; 16.5 ; NGC 4579 (M58) ; $1.8 \times 10^{11}$ ; 11.0 ; 0.00506 ; IC 3574 ; $2.5 \times 10^{9}$ ; 6.5 ; 0.00311 ; 0 ;
; 16.5 ; NGC 4621 (M59) ; $2.0 \times 10^{11}$ ; 12.0 ; 0.00157 ; IC 3652 ; $1.1 \times 10^{9}$ ; 5.0 ; 0.00494 ; 1 ;
; 16.5 ; NGC 4621 (M59) ; $2.0 \times 10^{11}$ ; 12.0 ; 0.00157 ; NGC 4606 ; $1.4 \times 10^{10}$ ; 7.0 ; 0.00377 ; 1 ;
; 15.2 ; NGC 4414 ; $1.0 \times 10^{11}$ ; 10.0 ; 0.00239 ; NGC 4274 ; $6.0 \times 10^{10}$ ; 9.0 ; 0.00310 ; 1 ;
; 15.2 ; NGC 4414 ; $1.0 \times 10^{11}$ ; 10.0 ; 0.00239 ; NGC 4278 ; $7.0 \times 10^{10}$ ; 11.5 ; 0.00216 ; 0 ;
; 15.2 ; NGC 4414 ; $1.0 \times 10^{11}$ ; 10.0 ; 0.00239 ; NGC 4314 ; $4.5 \times 10^{10}$ ; 8.5 ; 0.00321 ; 1 ;
; 15.2 ; NGC 4278 ; $7.0 \times 10^{10}$ ; 11.5 ; 0.00216 ; NGC 4283 ; $8.0 \times 10^{9}$ ; 10.0 ; 0.00352 ; 1 ;
; 15.2 ; NGC 4278 ; $7.0 \times 10^{10}$ ; 11.5 ; 0.00216 ; NGC 4308 ; $2.0 \times 10^{8}$ ; 5.5 ; 0.00224 ; 1 ;
; 15.2 ; NGC 4565 ; $1.5 \times 10^{11}$ ; 10.5 ; 0.00410 ; NGC 4494 ; $8.0 \times 10^{10}$ ; 9.5 ; 0.00448 ; 1 ;
; 16.5 ; NGC 4321 (M100) ; $1.6 \times 10^{11}$ ; 9.5 ; 0.00524 ; NGC 4322 ; $1.5 \times 10^{9}$ ; 4.5 ; 0.00550 ; 1 ;
; 16.5 ; NGC 4382 (M85) ; $4.0 \times 10^{11}$ ; 11.0 ; 0.00243 ; IC 3293 ; $4.0 \times 10^{8}$ ; 4.0 ; 0.00211 ; 0 ;
; 16.5 ; NGC 4429 ; $1.5 \times 10^{11}$ ; 11.5 ; 0.00368 ; IC 3341 ; $5.0 \times 10^{8}$ ; 5.0 ; 0.00394 ; 1 ;
; 16.5 ; NGC 4435 ; $2.0 \times 10^{10}$ ; 6.5 ; 0.00264 ; IC 3355 ; $3.0 \times 10^{8}$ ; 3.5 ; 0.00030 ; 0 ;
; 16.5 ; NGC 4459 ; $7.0 \times 10^{10}$ ; 8.5 ; 0.00397 ; IC 3363 ; $2.0 \times 10^{8}$ ; 4.5 ; 0.00322 ; 0 ;
; 16.5 ; NGC 4473 ; $8.0 \times 10^{10}$ ; 11.5 ; 0.00748 ; IC 3412 ; $3.5 \times 10^{8}$ ; 5.5 ; 0.00551 ; 0 ;
; 16.5 ; NGC 4477 ; $1.0 \times 10^{11}$ ; 11.0 ; 0.00446 ; IC 3446 ; $4.0 \times 10^{8}$ ; 4.0 ; 0.00522 ; 1 ;
; 16.5 ; NGC 4501 (M88) ; $2.5 \times 10^{11}$ ; 10.0 ; 0.00761 ; IC 3474 ; $9.0 \times 10^{8}$ ; 4.5 ; 0.00612 ; 0 ;
; 16.5 ; NGC 4535 ; $6.0 \times 10^{10}$ ; 5.5 ; 0.00655 ; IC 3521 ; $6.0 \times 10^{8}$ ; 3.0 ; 0.00199 ; 0 ;
; 18.4 ; M49 ; $8.0 \times 10^{11}$ ; 12.5 ; 0.00331 ; IC 3424 ; $1.4 \times 10^{9}$ ; 6.0 ; 0.00411 ; 1 ;
; 18.4 ; M49 ; $8.0 \times 10^{11}$ ; 12.5 ; 0.00331 ; IC 3431 ; $2.2 \times 10^{9}$ ; 7.0 ; 0.00395 ; 1 ;
; 16.5 ; NGC 4548 (M91) ; $1.0 \times 10^{11}$ ; 9.0 ; 0.00162 ; IC 3522 ; $5.0 \times 10^{8}$ ; 3.5 ; 0.00224 ; 1 ;
; 16.5 ; NGC 4569 (M90) ; $2.0 \times 10^{11}$ ; 10.5 ; -0.00078 ; IC 3611 ; $1.2 \times 10^{9}$ ; 5.0 ; 0.00188 ; 1 ;
; 16.5 ; NGC 4579 (M58) ; $1.8 \times 10^{11}$ ; 11.0 ; 0.00506 ; IC 3587 ; $1.0 \times 10^{9}$ ; 5.5 ; 0.00431 ; 0 ;
; 16.5 ; NGC 4639 ; $3.5 \times 10^{10}$ ; 8.5 ; 0.00339 ; IC 3721 ; $4.0 \times 10^{8}$ ; 4.0 ; 0.00411 ; 1 ;
; 16.5 ; NGC 4654 ; $4.5 \times 10^{10}$ ; 7.5 ; 0.00349 ; IC 3742 ; $1.2 \times 10^{9}$ ; 4.5 ; 0.00288 ; 0 ;
; 16.5 ; NGC 4666 ; $1.2 \times 10^{11}$ ; 8.0 ; 0.00507 ; NGC 4668 ; $5.0 \times 10^{9}$ ; 5.0 ; 0.00531 ; 1 ;
; 16.5 ; NGC 4350 ; $9.0 \times 10^{10}$ ; 11.5 ; 0.00398 ; NGC 4340 ; $5.5 \times 10^{10}$ ; 11.0 ; 0.00311 ; 0 ;
; 16.5 ; NGC 4419 ; $3.0 \times 10^{10}$ ; 6.0 ; -0.00087 ; IC 3328 ; $1.1 \times 10^{9}$ ; 5.5 ; 0.00329 ; 1 ;
; 16.5 ; NGC 4435 ; $2.0 \times 10^{10}$ ; 6.5 ; 0.00264 ; IC 3381 ; $4.5 \times 10^{8}$ ; 5.0 ; 0.00212 ; 0 ;
; 16.5 ; NGC 4459 ; $7.0 \times 10^{10}$ ; 8.5 ; 0.00397 ; IC 3443 ; $6.0 \times 10^{8}$ ; 6.0 ; 0.00431 ; 1 ;
; 16.5 ; NGC 4477 ; $1.0 \times 10^{11}$ ; 11.0 ; 0.00446 ; IC 3481 ; $2.0 \times 10^{9}$ ; 6.5 ; 0.00701 ; 1 ;
; 16.5 ; NGC 4569 (M90) ; $2.0 \times 10^{11}$ ; 10.5 ; -0.00078 ; IC 3591 ; $1.4 \times 10^{9}$ ; 4.5 ; 0.00165 ; 1 ;
; 16.5 ; NGC 4579 (M58) ; $1.8 \times 10^{11}$ ; 11.0 ; 0.00506 ; IC 3613 ; $8.5 \times 10^{8}$ ; 5.0 ; 0.00612 ; 1 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; NGC 1415 ; $4.0 \times 10^{10}$ ; 8.0 ; 0.00524 ; 0 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; NGC 1426 ; $5.0 \times 10^{10}$ ; 11.5 ; 0.00481 ; 0 ;
; 23.0 ; NGC 1395 ; $4.0 \times 10^{11}$ ; 12.5 ; 0.00573 ; NGC 1353 ; $6.5 \times 10^{10}$ ; 7.5 ; 0.00509 ; 0 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; NGC 1400 ; $1.5 \times 10^{11}$ ; 12.0 ; 0.00186 ; 0 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; NGC 1386 ; $3.0 \times 10^{10}$ ; 6.5 ; 0.00290 ; 0 ;
; 23.0 ; NGC 1407 ; $5.0 \times 10^{11}$ ; 13.0 ; 0.00593 ; IC 1953 ; $1.8 \times 10^{10}$ ; 5.0 ; 0.00623 ; 1 ;
; 23.0 ; NGC 1232 ; $1.5 \times 10^{11}$ ; 9.0 ; 0.00535 ; NGC 1232A ; $1.0 \times 10^{9}$ ; 3.5 ; 0.00594 ; 1 ;
; 23.0 ; NGC 1332 ; $2.5 \times 10^{11}$ ; 12.0 ; 0.00508 ; NGC 1325 ; $4.5 \times 10^{10}$ ; 7.0 ; 0.00531 ; 1 ;
; 23.0 ; NGC 1300 ; $8.0 \times 10^{10}$ ; 8.5 ; 0.00524 ; NGC 1301 ; $5.0 \times 10^{9}$ ; 6.0 ; 0.00492 ; 0 ;
; 23.0 ; NGC 1209 ; $1.2 \times 10^{11}$ ; 12.5 ; 0.00381 ; NGC 1187 ; $7.5 \times 10^{10}$ ; 7.5 ; 0.00464 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; NGC 5047 ; $2.5 \times 10^{10}$ ; 8.5 ; 0.01021 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; NGC 5049 ; $1.8 \times 10^{10}$ ; 9.0 ; 0.00934 ; 1 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; NGC 5054 ; $9.0 \times 10^{10}$ ; 7.0 ; 0.00587 ; 0 ;
; 31.2 ; NGC 5044 ; $3.5 \times 10^{11}$ ; 12.5 ; 0.00928 ; NGC 4965 ; $1.2 \times 10^{10}$ ; 6.5 ; 0.00742 ; 0 ;
